Item,Date,Document
,"9h - Bharat Forge wins long-term Embraer contract for landing gear forgings, becoming first Indian supplier.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 9h - Bharat Forge wins long-term Embraer contract for landing gear forgings, becoming first Indian supplier.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/d0ae93b0-26aa-48a7-a8e0-80eedad6c81b.pdf)"
,"9h - Bharat Forge shared FY26 results, FY27 growth outlook, acquisitions, defense milestones, and capex plans.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 9h - Bharat Forge shared FY26 results, FY27 growth outlook, acquisitions, defense milestones, and capex plans.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/79d30263-5564-4bc9-9ee2-afe775518d5e.pdf)"
,9 Apr - Board reviewed wind-down of BF CDP Germany and approved up to EUR 30 million financing.,"[Board Meeting Outcome for Outcome Of Board Meeting Held On April 9, 2026 9 Apr - Board reviewed wind-down of BF CDP Germany and approved up to EUR 30 million financing.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/56bcc21f-41ca-4c52-8ade-17fb75f329a9.pdf)"
,"8 May - Newspaper Publication of Financial Results for the quarter and year ended March 31, 2026.","[Announcement under Regulation 30 (LODR)-Newspaper Publication 8 May - Newspaper Publication of Financial Results for the quarter and year ended March 31, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/68d814fa-7b74-4d40-9742-9503f768a2e3.pdf)"
,"8 May - Bharat Forge completes 30% stake acquisition in Fortuna Engineering for 27,08,754 shares.","[Announcement under Regulation 30 (LODR)-Updates on Acquisition 8 May - Bharat Forge completes 30% stake acquisition in Fortuna Engineering for 27,08,754 shares.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/fcbc99fd-9358-4cdf-b78c-5b089e1cbf3d.pdf)"
,"8 Apr - Certificate under Regulation 74 (5) of SEBI (DP) Regulations, 2018 for quarter ended March 31, 2026","[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 8 Apr - Certificate under Regulation 74 (5) of SEBI (DP) Regulations, 2018 for quarter ended March 31, 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/2932371c-397d-42a7-8159-16132cc027a1.pdf)"
,"7 May - Bharat Forge approved FY26 audited results, recommended Rs6.50 dividend, reappointed Ashish Bharat Ram, and set AGM for Aug 11, 2026.","[Announcement under Regulation 30 (LODR)-Change in Directorate 7 May - Bharat Forge approved FY26 audited results, recommended Rs6.50 dividend, reappointed Ashish Bharat Ram, and set AGM for Aug 11, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/da015fd9-4381-4f5d-b3b8-9b0888a9a7ff.pdf)"
,"7 May - Audio recording of Bharat Forge’s May 7, 2026 investor call on FY26 audited results uploaded.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 7 May - Audio recording of Bharat Forge’s May 7, 2026 investor call on FY26 audited results uploaded.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/01072f1b-ec32-4412-9ae9-7b67cbe0065b.pdf)"
,"7 January 2026 - Unilex acquired 60% of Unisynth Overseas on Jan 07, 2026 for Rs6,69,19,710 (Rs27.17/share).","[General Updates 7 January 2026 - Unilex acquired 60% of Unisynth Overseas on Jan 07, 2026 for Rs6,69,19,710 (Rs27.17/share).](https://nsearchives.nseindia.com/corporate/UNILEX_07012026182315_Intimation_to_NSE_update_on_Investment.pdf)"
,"30 Apr - Board meets May 7, 2026 to approve FY26 results and consider final dividend.","[Board Meeting Intimation for Audited Financial Results And Final Dividend 30 Apr - Board meets May 7, 2026 to approve FY26 results and consider final dividend.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/affa7790-b315-4cee-9fd9-3817514e0f6c.pdf)"
,Date,Document
,---,---
,2026-09-10,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=821646cc-3479-4541-911b-f6e8c0cd1b85.pdf)
,2026-09-10,[Announcement under Regulation 30 (LODR)-Restructuring](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4f064ae2-f410-443c-b53c-1d69bd257d6f.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=99c95951-3c82-42de-b47c-534f51af22e0.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40e610e7-ff73-4940-bf7b-c9584d9a5b8d.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3f657906-2c46-4b40-b709-ee0d1c51747a.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Restructuring](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f9d75ee5-1258-4b2f-b777-eb15abc71451.pdf)
,2026-08-31,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e5d570e9-d45b-4315-8aa8-2878b26a7bea.pdf)
,2026-08-28,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2bee95b0-8d44-4e30-a117-af8897a12609.pdf)
,2026-08-28,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=80add81b-b38a-4a38-b656-fe4ec8bf489b.pdf)
,2026-08-13,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9d9cfea9-2407-4fec-b0ab-01e2801ad1bf.pdf)
,Date,Document
,---,---
,2026-08-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=50548169-3807-4a31-88f7-3eac83b6c356.pdf)
,2026-05-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=01072f1b-ec32-4412-9ae9-7b67cbe0065b.pdf)
,2026-02-12,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a041d68f-4399-4f0d-ae57-2301b4235318.pdf)
,2025-11-11,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=846008db-811c-4582-be98-f0ff636f90d4.pdf)
,2025-08-06,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1592ca01-3f0f-4f95-bbdd-03d5155bd3fe.pdf)
,2025-05-08,[Audio Recording Of Analyst / Investor Conference Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eb95001e-83e1-47db-aa25-6cd0aba8fd39.pdf)
,2024-08-08,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ad40c5c-c20f-4b45-9456-162a0acd354c.pdf)
,2024-05-08,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=132f73f0-ecca-4158-a757-9b1945a95079.pdf)
,2024-02-12,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d7a3e09e-fbbd-423e-9a61-cde5f98d5d65.pdf)
,2023-11-06,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6bf6a6e5-6243-4f47-8d9a-b2a5a9ef56cb.pdf)
,Date,Document
,---,---
,2026-05-07,[Financial Results & Large Corporate Disclosure](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d1c7fccb-9fc4-4cce-b7fd-57744795a1ad.pdf)
,2025-11-11,[Results For Quarter And Half Year Ended September 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0569c90c-1cd2-4dcc-a39a-f100692e63f3.pdf)
,2025-08-06,[Unaudited Financial Results (Standalone And Consolidated) For The Quarter Ended June 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=254e2edd-413c-45dd-abd8-11b32413d189.pdf)
,2025-05-08,[Audited Financial Results.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=60539099-8efc-4e89-9cf7-edd5383811b1.pdf)
,2024-11-14,[Financial Results For Q2 Of FY 2024-25](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f4950a29-6dab-4e0a-96de-853918de3314.pdf)
,2024-08-08,"[Unaudited Standalone And Consolidated Financial Results Of The Company For The Quarter Ending June 30, 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dfd47a5d-3f52-40e8-9408-9e1b99b278a1.pdf)"
,2024-05-08,"[Audited Standalone And Consolidated Financial Results Of The Company For The Quarter And Financial Year Ending March 31, 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8a05962e-5a50-4966-9872-853e6c4f2560.pdf)"
,2024-02-12,"[Financial Results For The Quarter Ended December 31, 2023](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d6715050-0358-4d45-8b07-e607dc60d41f.pdf)"
,2023-11-06,"[Financial Results For The Quarter And Half Year Ended September 30, 2023](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ff6ebffa-a986-4547-80f3-29ab8efb8d20.pdf)"
